2025-12-02T22:02:49.210296,newUser,FIRST_LOG
2025-12-02T22:02:49.213014,testUser,
2025-12-02T22:02:49.218725,null,ACTION
2025-12-02T22:02:49.220637,testUser,null
2025-12-02T22:02:49.221812,testUser,LOGIN
2025-12-02T22:02:49.224105,testUser,LOGIN
2025-12-02T22:02:49.224223,testUser,LOGOUT
2025-12-02T22:02:49.224277,testUser,CREATE_TABLE
2025-12-02T22:02:49.224325,testUser,JOIN_TABLE
2025-12-02T22:02:49.224391,testUser,LEAVE_TABLE
2025-12-02T22:02:49.224438,testUser,PLACE_BET
2025-12-02T22:02:49.224478,testUser,HIT
2025-12-02T22:02:49.224574,testUser,STAND
2025-12-02T22:02:49.224654,testUser,DEPOSIT
2025-12-02T22:02:49.224752,testUser,WITHDRAW
